States,District,No,Electrical Motor Pump,Total,No (%),Electrical Motor Pump Use (%)
Andhra Pradesh,Guntur,80,0,80,100,0
Andhra Pradesh,Medak,80,0,80,100,0
Assam,Kamrup,80,0,80,100,0
Assam,Nalbari,80,0,80,100,0
Bihar,Jehanabad,80,0,80,100,0
Bihar,Madhubani,80,0,80,100,0
Bihar,Muzaffarpur,80,0,80,100,0
Gujurat,Mahsana,78,2,80,97.5,2.5
Gujurat,Narmada,79,1,80,98.75,1.25
Haryana,Kurukshetra,80,0,80,100,0
Haryana,Panchkula,80,0,80,100,0
Himachal Pradesh,Bilaspur,80,0,80,100,0
Himachal Pradesh,Sirmaur,80,0,80,100,0
Jharkhand,Purbi Singhbhum,80,0,80,100,0
Jharkhand,Ranchi,80,0,80,100,0
Karnataka,Haveri,80,0,80,100,0
Karnataka,Mandya,80,0,80,100,0
Madhya Pradesh,Guna,80,0,80,100,0
Madhya Pradesh,Indore,80,0,80,100,0
Madhya Pradesh,Ratlam,80,0,80,100,0
Odisha,Angul,80,0,80,100,0
Odisha,Bargarh,80,0,80,100,0
Odisha,Kendrapara,80,0,80,100,0
Punjab,Moga,80,0,80,100,0
Punjab,Patiala,80,0,80,100,0
Rajasthan,Jaipur,80,0,80,100,0
Rajasthan,Jhalawar,80,0,80,100,0
Rajasthan,Rajsamand,80,0,80,100,0
Tamilnadu,Cuddalore,80,0,80,100,0
Tamilnadu,Erode,80,0,80,100,0
Tamilnadu,Tiruvannamalai,80,0,80,100,0
Uttar Pradesh,Barabanki,79,1,80,98.75,1.25
Uttar Pradesh,Hathras,78,2,80,97.5,2.5
Uttar Pradesh,Kannauj,79,1,80,98.75,1.25
Uttar Pradesh,Sant Kabir Nagar,80,0,80,100,0
Uttar Pradesh,Sant Ravidas Nagar,80,0,80,100,0
West Bengal,North 24 Parganas,80,0,80,100,0
West Bengal,Paschim Medinipur,80,0,80,100,0
Total,Total,3033,7,3040,99.8,0.2
